NAME,No_EVAs,DURATION_HMS
Michael (L.A.) Lopez-Algeria (F),10,67:40:00
Jerry Ross (F),9,58:18:00
John Grunsfeld (M),8,58:30:00
Sunita “Suni” Williams (A),7,50:40:00
Steve Smith (M),7,49:25:00
Michael “Mike” Fincke (A),9,48:37:00
Michae l”Mike” Fossum (A),7,48:32:00
Steve Bowen (A),7,47:18:00
Scott Parazynski (F),7,47:05:00
Joe Tanner (F),7,46:29:00
Robert “Beamer” Curbeam (F),7,45:34:00
Doug “Wheels” Wheelock (A),6,43:30:00
James “Jim” Newman (F),6,43:13:00
Andrew “Drew” Feustel (A),6,42:18:00
Rick Linnehan (M),6,42:11:00
David “Dave” Wolf (F),7,47:05:00
Piers Sellers (M),6,41:10:00
Peggy Whitson (A),6,39:46:00
Dan Tani (F),6,39:11:00
Rick Mastracchio (A),6,38:30:00
Clay Anderson (F),6,38:28:00
Robert “Bob” Behnken (A),6,37:33:00
Rex Walheim (A),5,35:03:00
Leroy Chiao (F),6,36:07:00
John “Danny” Olivas (F),5,34:28:00
Heide Stefanyshyn-Piper (F),5,33:42:00
Michael Foreman (M),5,32:19:00
James “Jim” Reilly (F),5,30:10:00
Michael “Mike” Massimino (M),4,30:04:00
Michael “Bueno” Good (M),4,29:53:00
Thomas “Tom” Akers (F),4,29:40:00
Ronald “Ron” Garan (M),4,27:03:00
Steven “Swanny” Swanson (A),4,26:22:00
Story Musgrave (F),4,26:19:00
Mark Lee (F),4,26:01:00
Daniel “Dan” Barry (F),4,25:53:00
Partick “Pat” Forrester (M),4,25:22:00
Jeffrey “Jeff” Hoffman (F),4,25:08:00
William “Bill” McArthur (M),4,24:21:00
Eugene “Gene” Cernan (F),4,24:16:00
Michael Gernhardt (M),4,23:16:00
Tracy Caldwell Dyson (A),3,22:49:00
Michael “Mike” Foale (A),4,22:44:00
James “Jim” Voss (F),4,22:35:00
Harrison “Jack” Schmitt (F),3,22:04:00
James “Ox” van Hoften (F),4,21:51:00
Garrett Reisman (F),3,21:12:00
Kathryn Thornton (F),3,21:11:00
Charlie Duke (F),3,20:15:00
John Young (F),3,20:15:00
Steven “Steve” Robinson (F),3,20:05:00
John Herrington (F),3,19:55:00
Peter “Jeff” Wisoff (F),3,19:53:00
Thomas “Tom” Jones (F),3,19:49:00
Franklin Chang-Diaz (F),3,19:31:00
Winston Scott (F),3,19:26:00
Carlos Noriega (F),3,19:20:00
Jeffrey “Jeff” Williams (A),3,19:09:00
Thomas “Tom” Marshburn (A),3,18:59:00
Carl Walz (F),3,18:55:00
James Irwin (D),3,18:35:00
David Scott (F),3,19:35:00
Gregory “Greg” Harbaugh (F),3,18:29:00
Nicholas “Nick” Patrick (F),3,18:14:00
Christopher “Chris” Cassidy (A),3,18:05:00
Pierre Thuot (F),3,17:38:00
Richard “Rick” Hieb (F),3,17:38:00
Gerald “Gerry” Carr (F),3,15:48:00
Stanley “Stan” Love (M),2,15:23:00
Edward “Ed” Gibson (F),3,15:17:00
Lee Morin (M),2,14:09:00
Gregory “Greg” Chamitoff (A),2,13:42:00
Owen Garriott (F),3,13:42:00
William “Bill” Pogue (F),2,13:31:00
Kenneth “Sox” Bowersox (F),2,13:17:00
Donald “Don” Pettit (A),2,13:17:00
Joseph “Joe” Acaba (A),2,12:57:00
Robert “Shane” Kimbrough (A),2,12:52:00
B. Alvin “Al” Drew (A),2,12:48:00
Charles “Pete” Conrad (D),4,12:44:00
Richard “Ricky” Arnold (A),2,12:34:00
Robert “Bobby” Satcher (F),2,12:19:00
Sherwood “Woody” Spring (F),2,12:14:00
Dale Gardner (F),2,12:14:00
Joseph “Joe” Allen (F),2,12:14:00
Bruce McCandless (F),2,12:12:00
Robert Stewart (F),2,12:12:00
William “Bill” Fisher (F),2,11:52:00
Randolph “Randy” Bresnik (A),2,11:50:00
Daniel “Dan” Bursch (F),2,11:48:00
Jack Lousma (F),2,11:01:00
Jerome “Jay” Apt (F),2,10:49:00
Alan Bean (F),3,10:26:00
Linda Godwin (F),2,10:14:00
George “Pinky” Nelson (F),2,16:06:00
Alan Shepard (D),2,9:17:00
Edgar Mitchell (F),2,9:17:00
Susan Helms (F),1,8:56:00
Tammy Jernigan (F),1,7:56:00
Daniel “Dan” Burbank (A),1,7:11:00
Carl Meade (F),1,6:51:00
Nicole Stott (A),1,6:39:00
Andrew “Andy” Thomas (M),1,6:30:00
Paul Richards (M),1,6:21:00
Edward “Ed” Lu (F),1,6:14:00
Michael “Rich” Clifford (F),1,6:02:00
G. David Low (D),1,5:50:00
Timothy “Tim” Kopra (A),1,5:02:00
Frank Culbertson (F),1,5:04:00
John Phillips (F),1,4:58:00
Jerry Linenger (F),1,4:57:00
Michael “Mike” Barratt (A),1,4:54:00
Bernard Harris (F),1,4:39:00
Edwin “Buzz” Aldrin (F),2,7:52:00
Mario Runco (M),1,4:28:00
Donald “Don” Peterson (F),1,4:15:00
David Leestma (M),1,3:29:00
Kathryn Sullivan (F),1,3:29:00
Joseph “Joe” Kerwin (F),1,3:23:00
Stanley “David” Griggs (D),1,3:06:00
Neil Armstrong (D),1,1:31:00
Paul Weitz (F),1,2:11:00
Kenneth “Ken” Mattingly (F),1,1:13:00
Russell ”Rusty” Schweickart (F),1,0:46:00
Ronald “Ron” Evans (F),1,1:06:00
Al Worden (F),1,0:38:00
Richard Gordon (F),1,2:44:00
Michael Collins (F),1,1:27:00
Edward “Ed” White (D),1,0:21:00
